Kanton	15-24	25-34	35-44	45-54	55-64	65-74	75+	total
CH	939496	1074622	1178830	1244864	957049	723459	641693	7954662
ZH	145589	216028	224519	212736	158517	122153	107155	1392396
BE	112909	125393	138862	153049	127568	97272	91308	985046
LU	49568	53135	54913	59913	43707	32221	29648	381966
UR	4407	4292	4836	5364	4503	3389	3148	35382
SZ	17543	18960	22796	25155	18097	12507	10252	147904
OW	4599	4497	5179	5873	4420	3106	2592	35885
NW	4933	5054	5931	7037	5634	3949	2971	41311
GL	5057	5155	5084	6279	5072	3573	3448	39217
ZG	12406	15064	18786	19575	13751	10162	7624	115104
FR	37216	37639	43364	44555	32056	22630	17791	284668
SO	31128	31643	35430	42620	33359	24096	22187	256990
BS	18204	29484	26730	28086	22274	17740	20870	186255
BL	30354	31423	39165	44333	35998	29495	25481	275360
SH	9304	9655	9982	12431	10028	7755	7388	77139
AR	6928	6053	7113	8849	6909	4929	4622	53313
AI	2263	1986	2056	2368	1785	1317	1363	15743
SG	64303	66003	66715	74728	57345	42867	36302	483156
GR	23393	24712	27378	30804	25381	19091	16421	193388
AG	73875	82614	90830	101549	77162	54459	43679	618298
TG	33211	31678	35583	42184	31120	21280	18200	251973
TI	34736	38139	51522	53538	42494	37051	33048	336943
VD	92391	98731	110330	109227	80776	60453	54467	725944
VS	40219	40878	44617	49552	39276	30502	24763	317022
NE	21474	21660	25376	25436	20165	15721	15536	173183
GE	54464	66864	72296	69089	50542	39012	35091	460534
JU	9022	7882	9437	10534	9110	6729	6338	70542
