Kanton	15-24-jaehrig	25-34-jaehrig	35-44-jaehrig	45-54-jaehrig	55-64-jaehrig	65-74-jaehrig	75+ -jaehrig	total
CH	940792	1091419	1169577	1267707	970344	746521	652097	8039060
ZH	145584	218976	223920	217677	159813	125313	108959	1408575
BE	112473	127110	137184	155128	128543	100797	92118	992617
LU	49482	53994	54472	60912	45035	32993	30212	386082
UR	4346	4378	4793	5452	4617	3500	3169	35693
SZ	17664	19201	22311	25855	18669	13039	10514	149830
OW	4531	4588	5060	5914	4581	3209	2642	36115
NW	4889	5052	5770	7206	5686	4189	3045	41584
GL	4938	5298	5000	6305	5184	3662	3453	39369
ZG	12479	15344	18643	20003	13969	10526	7829	116575
FR	38061	38830	43591	45849	32901	23731	18276	291395
SO	31039	32456	34726	43105	33973	24742	22525	259283
BS	18117	29908	26880	28186	22412	17767	20882	187425
BL	30193	31540	38154	45012	36128	30296	26076	276537
SH	9229	9919	9982	12508	10162	7988	7485	77955
AR	6852	6125	6933	8926	7070	5087	4592	53438
AI	2274	1964	2027	2387	1783	1370	1377	15717
SG	63693	67314	65970	75797	58446	44206	36896	487060
GR	23045	24958	26651	31082	25787	19754	16662	193920
AG	73823	84657	90126	103407	79144	56582	44652	627340
TG	33155	33131	34912	43343	32049	22181	18572	256213
TI	35571	38212	51157	55131	42910	37954	33935	341652
VD	93331	100060	110433	111177	81495	62745	54999	734356
VS	40294	41774	44396	50622	39876	31828	25406	321732
NE	21746	21891	25169	25912	20199	16199	15557	174554
GE	54900	66814	72059	70124	50714	39873	35854	463101
JU	9083	7925	9258	10687	9198	6990	6410	70942
